iso,year,mil_delta,log_rgdp_pc,log_gov_pc,log_tfp,tbill,def_gdp,debt_gdp
BEL,1954,0.017696250973747496,1.971971692092756,0.49054531111611044,1.477509529634002,1.4000000432133675,-4.873438604760782,69.60690000000001
BEL,1955,-1.0968424576821958,2.0319354758063044,0.47696139711064217,1.5056321220655262,1.4000000432133675,-2.9272888494790523,68.25189999999999
BEL,1956,-0.22524857277232213,2.059165740392827,0.4778625051227803,1.5349796908324864,1.4000000432133675,-1.9979149291075928,65.2228
BEL,1957,0.05023647513998375,2.078467654920014,0.5326402235343837,1.5485647114180234,1.6200000420212746,-2.384902693139377,62.6271
BEL,1958,-0.0374429064991566,2.067823906122693,0.6428665546083981,1.5337495231148595,2.1400000900030136,-4.628315132605308,66.3914
BEL,1959,-0.05262091382722378,2.085238018271453,0.7152809481766998,1.562893556701714,1.6499999910593033,-6.204292976840519,69.5991
BEL,1960,-0.12098779550009242,2.136972192412035,0.7564765887898268,1.5870763662588137,3.189999982714653,-5.779432624113479,69.3148
BEL,1961,-0.13827779333860235,2.1879835689695946,0.7595959958113521,1.622140372791163,3.3799998462200165,-3.907530823058982,67.77590000000001
BEL,1962,0.025682093211477852,2.2358630067809586,0.793979945276621,1.6537633968873335,2.6900000870227814,-3.1948031741092278,65.3017
BEL,1963,-0.06812120371804031,2.2789371675422903,0.8591852258509937,1.6816694448009142,2.580000087618828,-3.9049341629286665,64.0813
BEL,1964,-0.0031593039523936106,2.3398830469412237,0.889697485511732,1.7286811155778679,3.3500000834465027,-3.0387897595034903,59.3746
BEL,1965,-0.2404080572477807,2.3776564206910593,0.954756709739132,1.7468446822283035,4.63000014424324,-3.491271820448879,57.6017
BEL,1966,0.13952242650840851,2.402856026277224,1.057098978275705,1.7537960153624388,5.209999904036522,-3.855690607734804,55.57688937568456
BEL,1967,0.02199559564913489,2.438532442350863,1.1008976122764713,1.7721259709591386,5.220000073313713,-3.2548210786841283,54.08139059304704
BEL,1968,-0.019491612972361683,2.476267614766145,1.1845383585799178,1.7982295735386804,4.010000079870224,-4.392867469879517,54.523613766730406
BEL,1969,-0.18327501477956476,2.540497855468608,1.1833177867225415,1.8398288906954545,6.949999928474426,-2.5014331625119444,51.58767241379311
BEL,1970,-0.013174899756084102,2.609862134835436,1.3174121149598195,1.9131120246962912,7.8599996864795685,-4.029195940671352,47.49187
BEL,1971,-0.019714177845554293,2.653363066901241,1.325983198666125,1.9370131407039883,5.090000107884407,-3.272746719908726,45.7677
BEL,1972,-0.01816587764159161,2.7089629551286425,1.3974572397751774,1.9892239069368265,3.8600001484155655,-3.6427159706726187,44.84331
BEL,1973,-0.04544890846384497,2.7664261131118004,1.4873118534141423,2.043115120262518,6.159999966621399,-4.78954160354598,42.38252
BEL,1974,-0.0738949447511561,2.8035353193605936,1.5172886147589062,2.073307583745799,10.209999978542328,-4.192596489549957,38.84301
BEL,1975,0.30361835136979654,2.781910553848349,1.627240390664752,2.0610626354484682,6.989999860525131,-6.386883403225107,39.83973
